#       x               y          id          logage      logmass   FWHM(pc)
      2210.48      2494.65      58752.0      6.18000      5.10000      1.49828
      2139.69      2649.09      63711.0      6.02000      4.90000      1.32201
      5779.17      2695.06      65214.0      6.74000      5.00000      1.93895
      1893.49      3009.03      74783.0      6.88000      4.80000      5.78747
      5956.02      3161.03      79840.0      6.32000      4.90000      7.34450
      5933.22      3177.70      80384.0      6.52000      4.90000     0.969474
      3501.75      5011.45      130769.      6.74000      4.80000     0.910718
      4555.75      5100.72      133257.      6.70000      5.00000     0.616938
      3752.32      5129.49      134025.      6.72000      5.00000    0.0293780
      3795.72      5260.54      137601.      6.78000      5.10000     0.705072
      4087.05      5895.23      155645.      6.48000      4.90000    0.0293780
      2505.43      6435.38      172737.      6.76000      4.80000      1.55703
      5339.90      7125.22      194227.      6.46000      4.80000      1.29263
      2760.01      7484.29      204688.      6.58000      5.10000     0.822584
      1345.62      7917.37      213943.      6.86000      4.80000      2.73215
      3584.70      4875.47      127383.      6.74000      5.30000      1.43952
      3525.04      5676.13      14908.0      6.66000      5.40000      1.11636
      2206.77      2488.03      58513.0      6.32000      4.60000     -999.
      2197.86      2502.71      59036.0      6.40000      4.80000     0.793206
      5733.17      2669.98      64421.0      6.74000      4.60000      3.23158
      5775.49      2674.44      64579.0      6.60000      4.70000     0.793206
      5831.30      2702.18      65468.0      6.76000      4.60000     0.235024
      5946.42      3070.53      76785.0      6.00000      4.60000      2.11522
      5951.41      3180.99      80526.0      6.44000      4.60000      1.08699
      5938.54      3182.53      80564.0      6.72000      4.80000     -999.
      5942.04      3183.20      80591.0      6.68000      4.60000     -999.
      4689.17      4295.57      110587.      6.38000      4.70000     0.851962
      4750.54      4396.81      113387.      6.58000      4.60000    0.0293780
      4601.68      4453.69      114928.      6.80000      4.50000     0.734450
      2554.49      4663.75      121508.      6.74000      4.60000     0.235024
      2293.35      4999.52      130446.      6.00000      4.60000     0.646316
      4582.93      5083.72      132815.      6.86000      4.50000      2.67340
      4430.80      5119.20      133742.      6.38000      4.80000     0.734450
      3916.19      5368.92      140598.      6.42000      4.70000      1.35139
      1678.00      5765.27      151683.      6.88000      4.50000      1.49828
      2244.69      5768.18      151783.      6.78000      4.70000      3.78976
      5474.14      5777.93      152106.      6.00000      4.50000      3.96603
      3832.22      5820.51      153350.      6.84000      4.60000     0.616938
      4332.55      5966.07      157786.      6.00000      4.70000      2.79091
      4499.66      6022.46      159521.      6.00000      4.50000    0.0293780
      4290.90      6026.66      159671.      6.52000      4.60000      3.17282
      2487.13      6081.57      161302.      6.00000      4.60000     0.793206
      2426.70      6146.59      163179.      6.90000      4.50000      1.02823
      2583.01      6509.20      174859.      6.58000      4.50000      1.02823
      1067.46      6608.34      177771.      6.82000      4.60000      5.02364
      1192.15      6747.13      181977.      6.00000      4.50000      19.4189
      2276.09      6826.62      184372.      6.78000      4.70000      4.49483
      2777.21      7117.76      193995.      6.46000      4.70000     0.910718
      2474.39      7210.27      196873.      6.86000      4.60000      3.78976
      2355.95      7275.56      198779.      6.88000      4.80000      1.38077
      2767.99      7490.18      204863.      6.72000      4.80000     0.646316
      2779.91      7506.62      205349.      6.52000      4.50000      1.23388
      3616.18      7556.27      206800.      6.54000      4.50000      1.20450
      3939.90      7618.47      208428.      6.00000      4.60000     0.734450
      2928.83      7675.55      209800.      6.02000      4.50000      4.87675
      4583.27      5040.06      236675.      6.46000      4.50000      5.49369
      4084.83      5903.79      236848.      6.02000      4.50000    0.0293780
      2432.39      1757.36      35999.0      8.06000      4.80000      9.04842
      7493.36      1771.53      36485.0      8.06000      5.50000      5.69933
      4791.38      1984.87      43323.0      8.06000      4.80000      12.3388
      6772.83      1987.77      43425.0      8.06000      5.00000      5.58182
      2722.72      2237.15      50202.0      8.31000      4.90000      6.87445
      7703.78      2430.06      56674.0      8.06000      4.80000      5.61120
      1542.21      2502.19      58998.0      8.06000      5.00000      5.66995
      6942.98      2814.48      69003.0      8.06000      4.90000      4.17168
      2195.41      2912.49      71907.0      8.01000      4.90000      3.90727
      4802.52      3040.33      75796.0      8.31000      4.80000      4.70048
      6904.85      3181.78      80565.0      8.06000      4.90000      4.81799
      6862.64      3183.15      80596.0      8.06000      4.80000      5.87560
      7078.46      3232.60      82122.0      8.06000      4.90000      3.31971
      4678.34      3290.68      83779.0      8.06000      5.80000      1.67455
      6816.38      3315.68      84539.0      8.06000      4.90000      5.93436
      3253.83      3321.72      84710.0      8.06000      5.10000      9.10718
      6830.12      3369.24      86095.0      8.06000      5.40000      5.99311
      6779.71      3408.42      87328.0      8.06000      4.90000      2.73215
      6752.20      3589.47      93417.0      8.06000      5.00000      3.90727
      7658.00      3595.31      93649.0      8.46000      4.90000      3.55474
      476.880      3604.01      93923.0      8.01000      5.00000      8.25522
      4722.49      3693.80      96613.0      8.01000      4.90000      10.7230
      1641.77      3710.83      97028.0      8.06000      4.80000      9.45972
      6302.15      3941.35      102154.      7.91000      5.10000      2.79091
      7128.50      4013.34      103895.      8.06000      5.20000      5.31742
      1772.01      4073.00      105200.      7.96000      5.40000      5.46431
      2688.16      4276.62      110078.      8.06000      4.90000      2.37962
      7437.37      4293.50      110545.      8.46000      5.40000      6.87445
      6220.50      4351.30      112074.      8.16000      5.00000      3.08469
      7595.19      4352.24      112109.      8.06000      4.90000      4.17168
      5595.08      4449.31      114783.      8.46000      4.80000      5.55244
      6188.32      4449.44      114784.      8.01000      5.20000      5.14115
      4896.66      4617.08      119988.      8.36000      4.90000      5.84622
      6198.42      4622.59      120190.      8.36000      5.00000      6.49254
      2471.60      4657.40      121253.      8.41000      5.40000      5.81684
      6417.23      4729.00      123551.      8.06000      4.90000      8.25522
      6871.58      4749.05      124108.      8.01000      5.00000      1.79206
      6403.50      4760.07      124409.      8.06000      5.00000      7.46201
      4697.28      4824.82      126108.      7.96000      5.00000      2.73215
