# Compilation of measurements of cluster mass functions; columns are
# 1) Galaxy name
# 2) Best-fit alphaM, where dN/dM ~ M^alphaM
# 3) Error on alphaM
# 4) log_10 break mass if fit was to a Schechter or truncated powerlaw
#    function, most massive bin / cluster present if not
# 5) Error in log_10 break mass if fit to Schechter / truncated PL
#    function; blank if fit was to pure powerlaw
# 6) Lower limit in log_10 M for sample
# 7) Method used (phot = unresolved photometry, cmd = color-magnitude
#    diagram, mix = combination of both)
# 8) Exclusive: is catalog construction "exclusive" about what is called a
#    cluster? 0 or 1 for no or yes
# 9) Reference; reference codes are as follows:
#    MG07 = McCrady & Graham, 2007, ApJ, 663, 844
#    FC12 = Fall & Chandar, 2012, ApJ, 752, 96
#    B13 = Baumgardt et al., 2013, MNRAS, 430, 676
#    R14 = Ryon et al., 2014, ApJ, 143, 33
#    C15 = Chandar, Fall, & Whitmore, 2015, ApJ, 810, 1
#    A15 = Adamo et al., 2015, MNRAS, 452, 246
#    M16 = Mulia, Chandar, & Whitmore, 2016, ApJ, 826, 32
#    C16 = Chandar et al., 2016, ApJ, 824, 71
#    H16 = Hollyhead et al. 2016, MNRAS, 460, 2087
#    J17 = Johnson et al., 2017, ApJ, 839, 78
#    A17 = Adamo et al., 2017, ApJ, 841, 131
#    L17 = Linden et al., 2017, ApJ, 843, 91L
#    M18 = Messa et al., 2018, MNRAS, 473, 996
#    M18b = Messa et al., 2018, MNRAS, 477, 1683
# 10) Additional notes; see bottom
#

Galaxy_Name		alphaM	alphaM_err	M_b	M_b_err	M_lo		Method	Exclusive	Source		Notes

M82			-1.91	0.06		6.6	--	5.3		phot	0		MG07		1
MW			-1.82	0.01		3.0	--	1.3		cmd	0		FC12		2
LMC			-2.34	0.11		5.4	--	3.7		mix	0		B13		3
LMC_age1		-2.43	0.17		5.4	--	3.7		mix	0		B13		3
LMC_age2		-1.70	0.08		5.4	--	3.7		mix	0		B13		3
NGC2997			-3.2	0.20		4.9	--	3.7		phot	1		R14		--
SMC			-1.69	0.15		4.1	--	2.6		phot	0		C15		--
NGC4214			-2.28	0.17		4.8	--	2.5		phot	0		C15		--
NGC4449			-1.68	0.21		5.5	--	3.6		phot	0		C15		--
M83			-1.95	0.12		5.1	--	3.3		phot	0		C15		--
Antennae		-2.18	0.04		6.2	--	4.0		phot	0		C15		--
M83			-2.18	0.07		5.2	0.08	3.7		phot	1		A15		4
M83_reg1		-1.90	0.11		5.6	0.09	3.7		phot	1		A15		4
M83_reg2		-2.20	0.11		5.0	0.09	3.7		phot	1		A15		4
M83_reg3		-2.20	0.12		4.7	0.09	3.7		phot	1		A15		4
M83_reg4		-2.70	0.14		4.4	0.09	3.7		phot	1		A15		4
M51			-2.10	0.20		5.5	--	3.5		phot	0		C16		5
M51_age1		-2.06	0.05		5.2	--	3.5		phot	0		C16		5
M51_age2		-1.97	0.09		5.4	--	3.9		phot	0		C16		5
M51_age3		-2.19	0.06		5.5	--	4.0		phot	0		C16		5
NGC3256			-1.86	0.34		6.5	--	4.7		phot	0		M16		--
NGC1566			-1.91	0.06		5.4	--	3.7		phot	1		H16		6
