#    log_Sigma_ovr_tff  log_Sigma_ovr_tff_errl  log_Sigma_ovr_tff_errh  log_Sigma_sfr  log_Sigma_sfr_errl  log_Sigma_sfr_errh
     2.03256    2.26665E-02    2.15421E-02  -0.292791  0.   0.305405
     1.46921    2.23242E-02    2.12326E-02   -1.20640  0.   0.305309
     2.97407    2.41296E-02    2.28593E-02   0.867432  0.   0.305309
     1.74868    3.00746E-02    2.81262E-02  -0.388046  0.   0.308553
     1.98675    1.51384E-02    1.46284E-02  -0.672527  0.   0.302947
     2.37790    2.39768E-02    2.27222E-02   0.252979  0.   0.305668
     1.81166    2.08218E-02    1.98690E-02  -0.595668  0.   0.304685
     1.35050    2.99898E-02    2.80521E-02   -1.21246  0.   0.308553
     2.62775    4.40016E-02    3.99506E-02   0.282275  0.   0.316267
     1.43081    2.81202E-02    2.64095E-02  -0.801530  0.   0.307663
     2.66181    2.66616E-02    2.51188E-02    1.00424  0.   0.306700
     1.64183    8.45277E-03    8.29124E-03   -1.81882  0.   0.301670
