#    log_Sigma_ovr_tff  log_Sigma_ovr_tff_errl  log_Sigma_ovr_tff_errh  log_Sigma_sfr  log_Sigma_sfr_errl  log_Sigma_sfr_errh
     1.50040    3.00050E-02    2.80653E-02  -0.638219   0.612114   0.244456
     1.71002    4.57598E-02    4.13946E-02  -0.680224   0.368099   0.196328
     2.53002    4.57740E-02    4.14062E-02   -2.90819E-03   0.726776   0.258255
     2.97248    4.58159E-02    4.14405E-02    1.05552   0.347100   0.190422
     3.23284    4.58727E-02    4.14867E-02    1.39240   0.319378   0.182039
     3.44527    4.60513E-02    4.16327E-02    1.68024   0.319377   0.182039
     1.46447    4.57648E-02    4.13986E-02  -0.906592   0.347101   0.190423
     1.98843    4.57684E-02    4.14016E-02   -1.65501E-02   0.277119   0.167819
     2.44032    4.58012E-02    4.14286E-02   0.785586   0.257442   0.160532
     2.73441    4.58667E-02    4.14822E-02    1.25485   0.252590   0.158665
     3.07040    4.65300E-02    4.20239E-02    1.57817   0.319379   0.182039
     1.87794    7.73203E-03    7.59661E-03  -0.989348   0.305278   0.177498
     2.32219    7.93624E-03    7.79390E-03  -0.582797   0.538440   0.233138
     2.63503    8.47387E-03    8.31151E-03   0.475426   0.194092   0.133667
     2.93614    1.09961E-02    1.07248E-02    1.49508   0.113030    8.96046E-02
     1.57299    1.47429E-02    1.42586E-02  -0.788938   0.133918    1.02210E-01
     2.29470    1.50430E-02    1.45395E-02   0.523434   0.154080   0.113500
     2.93235    1.99950E-02    1.91150E-02   0.681581   0.552172   0.235419
     1.63844    2.24024E-02    2.13034E-02  -0.683698   0.576500   0.239261
     2.39162    2.29280E-02    2.17779E-02   0.849072   0.292343   0.173156
     1.60304    2.33538E-02    2.21620E-02   -9.19597E-02   0.229420   0.149333
     2.41736    3.42448E-02    3.17409E-02   0.711544   0.634729   0.247511
     1.79531    3.00087E-02    2.80684E-02  -0.354071   0.612111   0.244455
     2.40597    3.00555E-02    2.81096E-02   0.576544   0.363178   0.194977
     1.78970    4.39564E-02    3.99134E-02  -0.120265   0.709834   0.256463
     3.10028    4.43525E-02    4.02398E-02    1.67021   0.387062   0.201357
     1.24904    1.91786E-02    1.83673E-02   -1.43616   0.563656   0.237264
     1.80343    1.95659E-02    1.87225E-02   -2.64187E-02   0.183999   0.128839
     1.26109    1.89505E-02    1.81581E-02  -0.998093   0.215826   0.143521
     1.85179    1.91836E-02    1.83719E-02  -0.271177   0.215825   0.143521
     1.85351    8.44061E-03    8.27980E-03  -0.932977   0.154126   0.113525
     2.36749    8.47816E-03    8.31580E-03   -9.14726E-02   0.161888   0.117659
     2.64133    8.52346E-03    8.35919E-03   0.373359   0.127518    9.84504E-02
     2.87344    8.68702E-03    8.51679E-03   0.868509   0.109160    8.71602E-02
     3.11281    9.29070E-03    9.09591E-03    1.54704    8.21871E-02    6.90811E-02
