           AK	         AREA	NSTARS	      AK_MEAN
     0.100000	   346.601898	   322	     0.585823
     0.125893	   335.656586	   322	     0.601244
     0.158489	   320.262726	   321	     0.623285
     0.199526	   302.436584	   321	     0.649462
     0.251189	   279.297760	   319	     0.684571
     0.316228	   248.766083	   316	     0.733737
     0.398107	   205.272827	   309	     0.813430
     0.501187	   155.506805	   296	     0.930558
     0.630957	   107.597008	   274	     1.095320
     0.794328	    70.280495	   251	     1.303082
     1.000000	    45.029446	   205	     1.535561
     1.258925	    27.459320	   178	     1.808065
     1.584893	    14.433745	   125	     2.173362
     1.995262	     6.656805	    72	     2.648148
     2.511886	     2.912352	    29	     3.223877
     3.162278	     1.248151	    12	     3.804385
     3.981072	     0.320039	     3	     4.516129
     5.011872	     0.032004	     0	     5.037461
