# Measurement of open cluster age distribution in the Solar
# neighborhood from Piskunov et al., 2018, A&A, in press,
# arXiv:1802.06779. Columns are:
# 1) log age (yr)
# 2) dN/dT, in Mpc^-1 kpc^-2
# 3) Error on dN/dT

log_T    dN_dT    dN_dT_err
6.000    1.110    0.082
6.100    0.089    0.154
6.270   -0.554    0.194
6.385   -0.122    0.154
6.483   -0.187    0.131
6.588    0.296    0.085
6.640   -0.062    0.137
6.690   -0.126    0.116
6.761   -0.147    0.125
6.814    0.007    0.093
6.897   -0.110    0.116
6.944   -0.649    0.154
6.999    0.038    0.093
7.054   -0.830    0.145
7.113   -0.303    0.109
7.182   -0.086    0.085
7.253   -0.446    0.095
7.300   -0.195    0.082
7.359   -0.658    0.120
7.403   -0.309    0.089
7.456   -0.624    0.109
7.504    0.012    0.066
7.583   -0.623    0.087
7.657   -1.320    0.177
7.703   -0.377    0.071
7.760   -0.697    0.091
7.813   -0.653    0.074
7.894   -0.831    0.085
7.943   -0.849    0.087
7.993   -0.624    0.065
8.050   -1.127    0.097
8.101   -0.837    0.071
8.151   -1.003    0.079
8.202   -0.899    0.063
8.256   -1.041    0.067
8.307   -0.833    0.063
8.360   -1.021    0.067
8.409   -1.026    0.059
8.462   -1.027    0.059
8.512   -1.071    0.059
8.561   -1.165    0.061
8.613   -0.946    0.047
8.664   -1.138    0.053
8.714   -1.124    0.049
8.769   -1.291    0.052
8.814   -1.231    0.049
8.877   -1.209    0.042
8.929   -1.483    0.056
8.986   -1.471    0.050
9.028   -1.534    0.056
9.090   -1.520    0.048
9.134   -1.787    0.058
9.190   -1.715    0.058
9.236   -1.878    0.065
9.288   -1.988    0.068
9.333   -1.959    0.062
9.389   -1.874    0.065
9.440   -2.113    0.082
9.494   -2.086    0.073
9.541   -2.753    0.125
9.595   -2.766    0.137
9.686   -3.289    0.116
