# 19 June 2018 12:30:07 CEST
# Data from Usero et al. 2015, AJ, 150, 115
#
# Conversion Factors:
#   Mdense/Lhcn = 10 Msun/(K*km/s*pc^2).
#   SFR/Ltir = 1.49e-04 Msun/Myr/Lsun
#
# Col. 1: Is HCN(1-0) detected?
# Col. 2: Dense Gas Mass [Msun] (4sigma limit if HCN not detected).
# Col. 3: SFR [Msun/Myr]
#
  det      Mdense         SFR
 TRUE    974099.2   18720.622
FALSE    256552.9    7154.818
 TRUE  51763073.7  811860.967
 TRUE  12734046.9  156842.217
 TRUE   8599616.1  123445.239
FALSE   1984526.8   40842.719
 TRUE    405874.7   25457.089
 TRUE    270583.1   16832.820
 TRUE   8466245.3  371993.314
FALSE   2325678.7   53576.493
FALSE   4651357.3   36237.386
 TRUE   5523486.8  108156.254
 TRUE   7886558.6  267635.528
 TRUE  43880127.1  460847.670
 TRUE  15451966.7  382424.092
 TRUE  19904228.3  398983.419
 TRUE   3928466.1  143415.955
 TRUE   7333136.7  123086.290
 TRUE  44644378.3  382202.132
 TRUE  29332463.4  644976.520
 TRUE   5534427.1  102657.781
 TRUE  18730949.8  232064.451
 TRUE   9091593.0  169807.421
 TRUE  33335841.0  547472.979
FALSE   5195196.0   72800.381
 TRUE   4696350.1  188743.105
 TRUE   4696350.1  113543.445
 TRUE 125947571.3  929265.089
 TRUE  17504577.7  202364.357
 TRUE  63650191.2 1888660.591
 TRUE  67385219.6  286377.816
FALSE   8984696.0   94761.488
 TRUE   5349946.2  158133.755
 TRUE   1429727.0   91981.734
 TRUE  28796662.9  260007.376
 TRUE   4299954.2   73138.921
 TRUE   2866636.1   69545.862
FALSE   1563619.7   28034.612
FALSE   1563619.7   32495.417
 TRUE  31402695.7  172934.159
 TRUE   8209003.5  112008.171
 TRUE  63587201.3  318671.527
 TRUE   5998260.0   58542.322
 TRUE 116649554.2 2768839.685
 TRUE  92384314.4  719026.206
 TRUE   4512344.4  117037.004
FALSE   1424950.9   50540.152
 TRUE   5581057.6  116411.985
 TRUE  50920153.0  768065.730
 TRUE  40823915.8  693904.333
