#surfdensity	eff
25.35323334	0.00577010
26.24607086	0.00549787
23.18471527	0.00532019
22.25609779	0.00767860
13.87296009	0.01689898
12.49974060	0.01705660
14.81101608	0.01297487
15.73099041	0.01125373
13.19333744	0.01205490
13.40669060	0.01346576
14.21727753	0.01133322
12.58437824	0.01081436
11.74383068	0.01206848
15.79687500	0.01385913
16.44353294	0.00902712
14.95636177	0.00789561
12.57678318	0.00960233
11.79352665	0.01277013
17.25642014	0.01162570
17.34891891	0.00979083
14.41014862	0.01059303
12.54363346	0.01094218
15.89225197	0.01478728
15.39634514	0.01605133
15.86319637	0.01584177
17.43881226	0.01522284
18.14339828	0.01467021
17.98426628	0.01270826
18.15086746	0.01807589
19.46778870	0.01454465
20.41484261	0.01320480
17.42415619	0.01147477
17.54129791	0.01653407
19.44450951	0.01321344
18.47000885	0.01203613
15.85634041	0.01394020
16.40268135	0.01190708
15.67798710	0.01105334
16.68381691	0.00993121
19.67353249	0.00747466
20.18355751	0.00909420
46.73422623	0.01105447
51.94890976	0.01258072
54.15784454	0.01971444
39.19975662	0.00861892
49.05040359	0.00867267
53.55069351	0.01326303
51.70803452	0.01896360
28.72731400	0.00835939
35.90038681	0.00680691
43.84181976	0.00799775
47.49087524	0.01127078
45.88979721	0.01545395
24.30875778	0.01014635
27.05444145	0.00834812
28.91866875	0.00736295
33.90825272	0.00600062
45.92450333	0.00554119
50.92226028	0.00729957
49.98628998	0.01154042
29.23444557	0.01641999
28.79304123	0.01150717
29.09502602	0.00934378
31.91311836	0.00855564
33.12650681	0.00790221
42.78575516	0.00551655
53.47779846	0.00459481
56.39320755	0.00681124
65.21070099	0.00925212
71.93058014	0.00940209
33.78237152	0.01065543
35.77497101	0.00954226
33.46876526	0.00912758
34.18415070	0.00796129
38.40005875	0.00741160
43.05001831	0.00666989
48.15883255	0.00564533
52.74202728	0.00579417
70.22193146	0.00618656
81.11959076	0.00629725
76.69351196	0.00677236
43.05195999	0.00735720
40.92055511	0.00653111
38.86004257	0.00687478
36.01291656	0.00683078
39.52543640	0.00583583
45.59536743	0.00523993
50.30040741	0.00528396
48.29172516	0.00637189
61.99576950	0.00565163
78.91010284	0.00482650
76.83250427	0.00538655
60.24834824	0.00764847
75.18888092	0.00758537
67.99472809	0.00534881
50.08676910	0.00518896
41.10395813	0.00555550
37.62999344	0.00617907
39.64257050	0.00562335
44.01659775	0.00476198
49.86935806	0.00448065
52.42354965	0.00552479
49.50183487	0.00682105
64.61163330	0.00510826
67.31401825	0.00515157
