Table 7
Luminosities of Massive Clumps^a

Source	logL_IR	L"(HCN 1-0)	L"(HCN 3-2)	L"(CS 7-6)	L"(CS 5-4)^b	L"(CS 2-1)	
	(L_sun)	(K km s^-1 pc^2)	(K km s^-1 pc^2)	(K km s^-1 pc^2)	(K km s^-1 pc^2)	(K km s^-1 pc^2)	
G121.30+0.66	2.85	0.53(12)	0.09(17)	-0.29(26)	0.18(13)	0.45(15)	
G123.07-6.31	3.76	1.36(16)	0.60(15)	0.15(18)	0.63(14)	1.16(14)	
W3(OH)	5.09	1.96(06)	1.26(08)	1.07(08)	1.24(10)	1.81(09)	
GL490	3.37		-0.41(17) 				
S231	4.03	1.49(16)	0.96(17)	0.29(17)	0.78(15)	1.37(15)	
S235	3.72	1.36(12)	0.70(13)	0.31(15)	0.66(12)	1.17(10)	
S241	4.14	1.49(14)	0.83(27)		0.66(26)	1.39(22)	
S252A	4.56	1.41(65)	0.35(15)	-0.43(19)	0.14(15)	1.19(23)	
S255	4.20		0.76(11)	0.71(18)			
RCW142	4.82	2.22(11)	1.68(12)	0.97(06)	1.26(10)	1.73(09)	
W28A2(1)	5.45	1.72(09)		0.87(05)	1.64(10)	1.66(07)	
M8E	4.26	1.38(39)	0.95(08)	-0.01(13)	0.64(11)	1.12(19)	
9.62+0.19	5.75	2.34(11)	2.01(08)	1.87(20)	1.75(10)	2.22(23)	
8.67-0.36	5.12			0.84(10)	1.48(11)	2.01(29)	
W31(1)	6.22		2.57(15)	2.18(35)	2.38(11)		
10.60-0.40	6.05	2.78(06)	2.31(06)	2.42(06)	2.42(10)	2.54(08)	
12.42+0.50	4.27	1.46(17)				1.35(21)	
12.89+0.49	4.66			0.07(12)	1.03(12)		
12.21-0.10	5.98	3.03(53)			2.24(16)	3.16(37)	
W33cont				3.05(06)	2.54(11)		
13.87+0.28	5.29	2.89(10)		1.08(19)	1.15(16)	2.74(09)	
W33A	5.19			0.69(19)	1.31(11)		
14.33-0.64	4.33		1.16(20)	0.94(17)	1.11(10)		
19.61-0.23	5.29		1.54(19)	1.04(12)	1.37(14)	1.74(59)	
20.08-0.13	4.65			0.86(14)	0.89(11)		
23.95+0.16	5.36	2.23(54)		1.21(22)	1.42(14)	2.06(51)	
24.49-0.04	4.74			0.42(69)	0.76(12)		
W42				1.43(07)	1.94(13)		
28.86+0.07	5.53				1.55(10)		
W43S	6.24	2.88(12)	2.35(12)	1.19(12)	2.05(12)	2.60(09)	
31.41+0.31	5.32			1.17(09)	1.85(11)		
W 43 Main3				1.09(14)	1.87(18)		
31.44-0.26	5.78			1.61(18)	1.84(11)		
32.05+0.20	5.02			1.48(43)	1.50(11)		
32.80+0.20				1.93(12)	2.35(12)		
W44	5.48	2.17(21)	1.90(09)	1.73(07)	1.96(11)	2.26(06)	
S76E	4.47			0.83(12)	1.14(10)		
35.58-0.03	4.68	1.40(38)		0.43(19)	0.93(15)	1.41(13)	
35.20-0.74	4.65			1.06(18)	1.27(13)		
W49N	6.69	3.44(06)		3.29(11)	2.91(11)	3.22(06)	
W49S				1.81(51)	2.44(19)		
43.80-0.13	4.51				0.69(11)		
45.07+0.13		2.42(16)	2.08(17)	1.84(18)	2.04(11)	2.24(15)	
48.61+0.02	6.06	3.12(12)	2.07(21)	0.57(22)	1.73(15)	2.69(27)	
W51W	5.93			1.89(29)	1.76(23)		
W51M	6.60	3.40(22)	2.79(20)	2.53(07)	2.64(10)	3.48(07)	
